,X,Y,node
0,-104.9876,39.7783,0
1,-104.9792,39.7783,1
2,-105.0028,39.7337,2
3,-105.037,39.744,3
4,-105.0393,39.744,4
5,-105.0487,39.744,5
6,-105.0521,39.744,6
7,-104.884874999584,39.6599500000938,7
8,-104.8848,39.6572,8
9,-104.8848,39.6545,9
10,-105.0053,39.7337,10
11,-104.9949,39.773,11
12,-104.9162,39.7351,12
13,-104.975818314504,39.719306681869,13
14,-104.8988,39.6531,14
15,-104.990200000145,39.7401500001716,15
16,-104.9911,39.7406,16
17,-104.905250000036,39.6405500000107,17
18,-104.9044,39.6411000000429,18
19,-104.9029,39.6411,19
20,-105.001986359216,39.7143272734186,20
21,-105.0112,39.7656,21
22,-105.0111,39.7802,22
23,-104.9667,39.7819,23
24,-104.9635,39.7819,24
25,-105.0093,39.7408,25
26,-105.0042,39.7421,26
27,-104.9953,39.7401,27
28,-104.9929,39.742,28
29,-104.9917,39.7429,29
30,-104.988,39.7457,30
31,-104.9744,39.6894,31
32,-104.971,39.6879,32
33,-104.9687,39.6869,33
34,-104.9731,39.7147,34
35,-104.883987499742,39.7237250002299,35
36,-104.8855,39.7253,36
37,-104.886550000036,39.7264500000107,37
38,-104.8868,39.7292,38
39,-104.8847,39.7312,39
40,-104.8847,39.7328,40
41,-104.900839984557,39.7534400099082,41
42,-104.886035094613,39.7543328252053,42
43,-104.882949999673,39.7783500000966,43
44,-104.8891,39.7787,44
45,-104.897693887128,39.7834243961087,45
46,-104.987599999855,39.7417500001716,46
47,-105.009406669807,39.7532433350607,47
48,-104.90355,39.6894000000107,48
49,-104.9049,39.6895,49
50,-104.9082,39.6895,50
51,-104.965833333108,39.7222333333715,51
52,-104.9659,39.7272,52
53,-104.9659,39.7291,53
54,-105.0053,39.7321,54
55,-104.9508,39.6748,55
56,-104.9752,39.7201,56
57,-104.9731,39.7201000001716,57
58,-104.9667,39.7201,58
59,-104.9733,39.7194,59
60,-104.9733,39.7642,60
61,-104.9748,39.7654,61
62,-104.9757,39.766,62
63,-105.0157,39.7074,63
64,-105.0157,39.7029,64
65,-105.0157,39.7131,65
66,-105.0424,39.7035,66
67,-105.0431,39.704,67
68,-105.0433,39.71155,68
69,-104.9923,39.6749,69
70,-104.9929,39.7339,70
71,-104.9929,39.7353,71
72,-104.9175,39.7159,72
73,-104.9176,39.7147,73
74,-104.9177,39.7131,74
75,-104.9407,39.6603,75
76,-105.034642858005,39.6636571429901,76
77,-104.9347,39.7202,77
78,-104.9348,39.7209,78
79,-104.934,39.6966,79
80,-104.977,39.7475,80
81,-104.977,39.7495,81
82,-105.011,39.713,82
83,-105.018,39.713,83
84,-104.995,39.7657,84
85,-104.994849999964,39.7671500000107,85
86,-104.994899999964,39.7681250000429,86
87,-104.9953,39.7691,87
88,-104.957779999858,39.7476900000755,88
89,-104.9499,39.7544,89
90,-104.9499,39.7582,90
91,-104.9499,39.7619,91
92,-104.9499,39.7657,92
93,-104.96655,39.7220000000965,93
94,-104.97,39.7819,94
95,-104.9501,39.742,95
96,-104.9501,39.7438,96
97,-104.9968,39.6931,97
98,-104.997119897262,39.6886579092314,98
99,-104.9308,39.7704,99
100,-104.9308,39.7717,100
101,-105.013333332754,39.6987000002669,101
102,-104.9815,39.7147,102
103,-104.9814,39.7183,103
104,-104.9814,39.7209,104
105,-104.9317,39.7474,105
106,-104.9317,39.7511,106
107,-104.9317,39.7547,107
108,-104.9317,39.7583,108
109,-104.9317,39.7619,109
110,-104.9318,39.7656,110
111,-105.01405,39.7423000000107,111
112,-104.9845,39.7579,112
113,-104.9736,39.7663,113
114,-104.9684,39.7658,114
115,-104.9684,39.7713,115
116,-104.9685,39.7729,116
117,-105.0141,39.7,117
118,-105.0351,39.6598,118
119,-105.0351,39.659,119
120,-104.9163,39.7511,120
121,-104.9163,39.7547,121
122,-104.9164,39.7584,122
123,-105.000489999113,39.7112200001583,123
124,-104.898949999964,39.6560500000107,124
125,-104.8987,39.6543,125
126,-104.9035,39.6676,126
127,-104.9029,39.6659,127
128,-104.9024,39.663,128
129,-104.900899995038,39.65949259628,129
130,-104.9,39.6575,130
131,-104.948899999855,39.6669500001715,131
132,-104.946,39.6676,132
133,-104.9428,39.6676,133
134,-104.9793,39.6948,134
135,-104.9792,39.6966,135
136,-104.9792,39.6984,136
137,-104.9793,39.7075,137
138,-104.9792,39.7147,138
139,-104.9791,39.7183,139
140,-105.0673,39.6598,140
141,-105.0793,39.6628,141
142,-104.9176,39.7419,142
143,-104.9176,39.7434,143
144,-104.9647,39.7495,144
145,-105.0086,39.7399,145
146,-105.011349999964,39.7435500000107,146
147,-105.001233333333,39.6891000002668,147
148,-105.018818594817,39.6880361255994,148
149,-105.0297,39.6895,149
150,-105.0443,39.6895,150
151,-105.05,39.6895,151
152,-105.0533,39.6896,152
153,-104.9889,39.7378,153
154,-104.9902,39.7384,154
155,-104.9917,39.7384,155
156,-104.9947,39.7385,156
157,-104.9965,39.7385,157
158,-104.9678,39.7356,158
159,-104.9684,39.7416,159
160,-104.9684,39.7482,160
161,-104.9594,39.6828,161
162,-104.9508,39.6813,162
163,-104.900631247782,39.7609031257011,163
164,-104.899,39.7602,164
165,-104.8964,39.7601,165
166,-104.8956,39.7601,166
167,-104.8926,39.7601,167
168,-104.8908,39.7601,168
169,-105.044,39.7549,169
170,-105.044,39.7585,170
171,-105.044,39.7657,171
172,-105.044,39.7802,172
173,-105.0439,39.7836,173
174,-105.0439,39.7874,174
175,-105.044,39.7895,175
176,-105.0439,39.7911,176
177,-105.0393,39.7512,177
178,-105.0428,39.7512,178
179,-104.9908,39.7184,179
180,-104.8961,39.7652,180
181,-104.8944,39.7652,181
