"X","Y"
-104.9876,39.7783
-104.9792,39.7783
-105.0028,39.7337
-105.037,39.744
-105.0393,39.744
-105.0487,39.744
-105.0521,39.744
-104.884874999584,39.6599500000938
-104.8848,39.6572
-104.8848,39.6545
-105.0053,39.7337
-104.9949,39.773
-104.9162,39.7351
-104.975818314504,39.719306681869
-104.8988,39.6531
-104.990200000145,39.7401500001716
-104.9911,39.7406
-104.905250000036,39.6405500000107
-104.9044,39.6411000000429
-104.9029,39.6411
-105.001986359216,39.7143272734186
-105.0112,39.7656
-105.0111,39.7802
-104.9667,39.7819
-104.9635,39.7819
-105.0093,39.7408
-105.0042,39.7421
-104.9953,39.7401
-104.9929,39.742
-104.9917,39.7429
-104.988,39.7457
-104.9744,39.6894
-104.971,39.6879
-104.9687,39.6869
-104.9731,39.7147
-104.883987499742,39.7237250002299
-104.8855,39.7253
-104.886550000036,39.7264500000107
-104.8868,39.7292
-104.8847,39.7312
-104.8847,39.7328
-104.900839984557,39.7534400099082
-104.886035094613,39.7543328252053
-104.882949999673,39.7783500000966
-104.8891,39.7787
-104.897693887128,39.7834243961087
-104.987599999855,39.7417500001716
-105.009406669807,39.7532433350607
-104.90355,39.6894000000107
-104.9049,39.6895
-104.9082,39.6895
-104.965833333108,39.7222333333715
-104.9659,39.7272
-104.9659,39.7291
-105.0053,39.7321
-104.9508,39.6748
-104.9752,39.7201
-104.9731,39.7201000001716
-104.9667,39.7201
-104.9733,39.7194
-104.9733,39.7642
-104.9748,39.7654
-104.9757,39.766
-105.0157,39.7074
-105.0157,39.7029
-105.0157,39.7131
-105.0424,39.7035
-105.0431,39.704
-105.0433,39.71155
-104.9923,39.6749
-104.9929,39.7339
-104.9929,39.7353
-104.9175,39.7159
-104.9176,39.7147
-104.9177,39.7131
-104.9407,39.6603
-105.034642858005,39.6636571429901
-104.9347,39.7202
-104.9348,39.7209
-104.934,39.6966
-104.977,39.7475
-104.977,39.7495
-105.011,39.713
-105.018,39.713
-104.995,39.7657
-104.994849999964,39.7671500000107
-104.994899999964,39.7681250000429
-104.9953,39.7691
-104.957779999858,39.7476900000755
-104.9499,39.7544
-104.9499,39.7582
-104.9499,39.7619
-104.9499,39.7657
-104.96655,39.7220000000965
-104.97,39.7819
-104.9501,39.742
-104.9501,39.7438
-104.9968,39.6931
-104.997119897262,39.6886579092314
-104.9308,39.7704
-104.9308,39.7717
-105.013333332754,39.6987000002669
-104.9815,39.7147
-104.9814,39.7183
-104.9814,39.7209
-104.9317,39.7474
-104.9317,39.7511
-104.9317,39.7547
-104.9317,39.7583
-104.9317,39.7619
-104.9318,39.7656
-105.01405,39.7423000000107
-104.9845,39.7579
-104.9736,39.7663
-104.9684,39.7658
-104.9684,39.7713
-104.9685,39.7729
-105.0141,39.7
-105.0351,39.6598
-105.0351,39.659
-104.9163,39.7511
-104.9163,39.7547
-104.9164,39.7584
-105.000489999113,39.7112200001583
-104.898949999964,39.6560500000107
-104.8987,39.6543
-104.9035,39.6676
-104.9029,39.6659
-104.9024,39.663
-104.900899995038,39.65949259628
-104.9,39.6575
-104.948899999855,39.6669500001715
-104.946,39.6676
-104.9428,39.6676
-104.9793,39.6948
-104.9792,39.6966
-104.9792,39.6984
-104.9793,39.7075
-104.9792,39.7147
-104.9791,39.7183
-105.0673,39.6598
-105.0793,39.6628
-104.9176,39.7419
-104.9176,39.7434
-104.9647,39.7495
-105.0086,39.7399
-105.011349999964,39.7435500000107
-105.001233333333,39.6891000002668
-105.018818594817,39.6880361255994
-105.0297,39.6895
-105.0443,39.6895
-105.05,39.6895
-105.0533,39.6896
-104.9889,39.7378
-104.9902,39.7384
-104.9917,39.7384
-104.9947,39.7385
-104.9965,39.7385
-104.9678,39.7356
-104.9684,39.7416
-104.9684,39.7482
-104.9594,39.6828
-104.9508,39.6813
-104.900631247782,39.7609031257011
-104.899,39.7602
-104.8964,39.7601
-104.8956,39.7601
-104.8926,39.7601
-104.8908,39.7601
-105.044,39.7549
-105.044,39.7585
-105.044,39.7657
-105.044,39.7802
-105.0439,39.7836
-105.0439,39.7874
-105.044,39.7895
-105.0439,39.7911
-105.0393,39.7512
-105.0428,39.7512
-104.9908,39.7184
-104.8961,39.7652
-104.8944,39.7652
-104.8905,39.7651
-104.8883,39.7651
-104.8874,39.7651
-104.8836,39.7651
-104.8818,39.7651
-104.8798,39.7651
-104.8786,39.7651
-104.8779,39.7651
-105.0093,39.7583
-104.95205,39.7512000000107
-104.9488,39.7512
-104.9473,39.7512
-104.9457,39.7511
-104.9406,39.751
-104.89,39.6603
-104.9874,39.7448
-104.9568,39.7416
-104.9568,39.7438
-104.89545999964,39.7173200001304
-104.892833333462,39.7112666667048
-104.8842,39.7071
-104.8707,39.7101
