,0,1,2,3
174,141.0,772.0,121.32,4.0
175,142.0,143.0,110.58,4.0
176,142.0,258.0,29.14,4.0
177,143.0,784.0,83.33,4.0
178,144.0,145.0,324.89,4.0
179,145.0,835.0,822.92,4.0
180,146.0,147.0,924.45,4.0
181,146.0,405.0,378.48,4.0
182,147.0,164.0,240.44,4.0
183,148.0,149.0,1062.35,4.0
184,148.0,789.0,146.0,4.0
185,150.0,151.0,68.48,4.0
186,150.0,313.0,2429.06,4.0
187,151.0,304.0,1310.24,4.0
188,152.0,153.0,3131.76,4.0
189,153.0,668.0,613.74,4.0
190,154.0,155.0,482.28,4.0
191,154.0,429.0,2529.08,4.0
192,156.0,157.0,218.21,4.0
193,158.0,159.0,254.67,4.0
194,159.0,318.0,544.35,0.0
195,160.0,161.0,2485.26,4.0
196,160.0,798.0,2596.31,3.0
197,162.0,163.0,1442.27,4.0
198,162.0,934.0,1074.51,4.0
199,164.0,781.0,461.91,4.0
200,164.0,1096.0,5218.7,1.0
201,165.0,166.0,141.37,4.0
202,167.0,168.0,1251.95,4.0
203,169.0,170.0,521.16,4.0
204,170.0,543.0,2619.89,4.0
205,171.0,172.0,598.6,4.0
206,172.0,839.0,106.76,4.0
207,174.0,175.0,48.62,4.0
208,174.0,397.0,208.56,4.0
209,175.0,249.0,624.41,4.0
210,176.0,177.0,1022.09,4.0
211,176.0,334.0,447.6,0.0
212,177.0,497.0,1705.63,0.0
213,178.0,179.0,301.59,1.0
214,179.0,475.0,294.9,1.0
215,180.0,181.0,2178.31,1.0
216,180.0,476.0,2185.11,1.0
217,180.0,409.0,316.3,4.0
218,180.0,875.0,1296.38,0.0
219,182.0,183.0,2056.11,1.0
220,182.0,492.0,188.19,0.0
221,185.0,186.0,3096.87,0.0
222,185.0,481.0,1491.01,0.0
223,186.0,769.0,880.92,4.0
224,187.0,188.0,255.06,4.0
225,187.0,264.0,162.34,4.0
226,189.0,190.0,216.27,4.0
227,190.0,364.0,654.22,4.0
228,191.0,192.0,744.64,4.0
229,191.0,720.0,199.9,4.0
230,193.0,194.0,7137.82,0.0
231,195.0,196.0,2277.38,6.0
232,197.0,198.0,1204.71,3.0
233,198.0,1045.0,684.89,3.0
234,199.0,200.0,2193.09,4.0
235,199.0,349.0,1790.38,4.0
236,199.0,663.0,1078.02,4.0
237,200.0,280.0,1146.46,4.0
238,201.0,202.0,2535.31,1.0
239,202.0,397.0,536.43,4.0
240,203.0,204.0,1299.55,1.0
241,203.0,248.0,863.91,5.0
242,203.0,248.0,795.93,5.0
243,203.0,854.0,1295.57,1.0
244,205.0,206.0,6206.51,4.0
245,207.0,208.0,1086.46,4.0
246,207.0,359.0,1139.07,0.0
247,209.0,210.0,1175.02,0.0
248,210.0,660.0,646.41,4.0
249,211.0,212.0,2574.08,0.0
250,211.0,212.0,2555.55,0.0
251,211.0,465.0,984.03,0.0
252,213.0,214.0,322.8,0.0
253,213.0,356.0,776.52,0.0
254,215.0,216.0,1233.72,0.0
255,215.0,804.0,1143.79,4.0
256,217.0,218.0,1544.01,0.0
257,217.0,218.0,1523.5,0.0
258,217.0,365.0,643.73,0.0
259,218.0,722.0,3053.44,0.0
260,219.0,694.0,297.88,4.0
261,220.0,221.0,1650.57,0.0
262,221.0,510.0,480.35,0.0
263,222.0,223.0,330.51,0.0
264,224.0,225.0,402.63,0.0
265,224.0,273.0,217.33,4.0
266,226.0,227.0,394.7,0.0
267,226.0,227.0,392.34,0.0
268,227.0,575.0,129.87,4.0
269,227.0,568.0,130.51,4.0
270,228.0,229.0,2808.13,6.0
271,230.0,231.0,48.14,5.0
272,232.0,233.0,959.56,5.0
273,234.0,235.0,3298.25,5.0
274,234.0,277.0,2685.52,5.0
275,235.0,391.0,3355.86,5.0
276,236.0,237.0,758.88,5.0
277,238.0,239.0,1017.61,5.0
278,240.0,241.0,1424.92,5.0
279,242.0,243.0,1018.85,5.0
280,245.0,246.0,622.05,4.0
281,245.0,410.0,342.45,4.0
282,246.0,524.0,106.96,5.0
283,247.0,248.0,1233.73,4.0
284,248.0,813.0,6798.51,0.0
285,248.0,876.0,6793.59,0.0
286,250.0,251.0,883.89,4.0
287,250.0,759.0,997.3,4.0
288,251.0,409.0,1341.26,4.0
289,251.0,562.0,1852.77,4.0
290,252.0,253.0,2236.65,4.0
291,254.0,254.0,1230.16,1.0
292,255.0,256.0,133.24,4.0
293,257.0,258.0,34.7,4.0
294,257.0,414.0,77.33,4.0
295,259.0,260.0,501.35,4.0
296,259.0,599.0,119.21,4.0
297,260.0,435.0,2184.55,4.0
298,261.0,262.0,162.61,4.0
299,261.0,661.0,215.27,4.0
300,264.0,265.0,943.33,4.0
301,264.0,354.0,304.74,4.0
302,266.0,267.0,909.91,4.0
303,268.0,269.0,1613.57,4.0
304,270.0,271.0,163.04,4.0
305,270.0,612.0,227.45,0.0
306,270.0,931.0,201.87,4.0
307,272.0,302.0,1326.24,4.0
308,273.0,366.0,458.67,0.0
309,274.0,275.0,87.59,4.0
310,276.0,277.0,316.58,4.0
311,276.0,277.0,317.66,4.0
312,276.0,695.0,639.17,4.0
313,277.0,391.0,2677.49,5.0
314,278.0,279.0,111.28,4.0
315,279.0,413.0,426.19,4.0
316,281.0,282.0,863.68,4.0
317,282.0,705.0,63.2,4.0
318,283.0,284.0,825.26,4.0
319,284.0,468.0,549.18,4.0
320,285.0,286.0,1455.9,4.0
321,285.0,408.0,155.99,4.0
322,286.0,495.0,424.94,4.0
323,287.0,288.0,255.25,4.0
324,288.0,301.0,350.0,4.0
